date,product,price,prev_price,price_change,moving_avg,alert,trend,avg_trend,forecast_3days,forecast_alert
2024-01-01,potato,8.21,,,,🔄 No Data,,,8.21,✅ مستقر
2024-01-02,potato,7.81,8.21,-0.04872107186358114,,✅ Stable,-0.40000000000000124,,7.81,✅ مستقر
2024-01-03,potato,7.73,7.81,-0.010243277848911547,,✅ Stable,-0.07999999999999918,,7.73,✅ مستقر
2024-01-04,potato,7.67,7.73,-0.007761966364812483,,✅ Stable,-0.0600000000000005,,7.67,✅ مستقر
2024-01-05,potato,7.71,7.67,0.005215123859191661,,✅ Stable,0.040000000000000036,,7.71,✅ مستقر
2024-01-06,potato,7.54,7.71,-0.02204928664072632,,✅ Stable,-0.16999999999999993,-0.13400000000000017,7.138,✅ مستقر
2024-01-07,potato,6.99,7.54,-0.07294429708222809,7.665714285714286,✅ Stable,-0.5499999999999998,-0.16399999999999987,6.498,✅ مستقر
2024-01-08,potato,6.96,6.99,-0.004291845493562267,7.487142857142857,✅ Stable,-0.03000000000000025,-0.15400000000000008,6.497999999999999,✅ مستقر
2024-01-09,potato,7.24,6.96,0.0402298850574713,7.405714285714285,✅ Stable,0.28000000000000025,-0.08599999999999994,6.982,✅ مستقر
2024-01-10,potato,7.0,7.24,-0.03314917127071826,7.301428571428572,✅ Stable,-0.2400000000000002,-0.142,6.574,✅ مستقر
2024-01-11,potato,7.33,7.0,0.04714285714285715,7.252857142857143,📈 Uptrend,0.33000000000000007,-0.041999999999999996,7.204,✅ مستقر
2024-01-12,potato,11.43,7.33,0.5593451568894952,7.784285714285714,🚨 Strong Increase,4.1,0.8879999999999999,14.094,🚨 High Risk Increase
2024-01-13,potato,11.67,11.43,0.02099737532808401,8.374285714285714,📈 Uptrend,0.2400000000000002,0.942,14.495999999999999,🚨 High Risk Increase
2024-01-14,potato,11.5,11.67,-0.014567266495287055,9.018571428571429,📈 Uptrend,-0.16999999999999993,0.852,14.056000000000001,🚨 High Risk Increase
2024-01-15,potato,11.16,11.5,-0.029565217391304334,9.618571428571428,📈 Uptrend,-0.33999999999999986,0.8320000000000001,13.656,🚨 High Risk Increase
2024-01-16,potato,10.7,11.16,-0.04121863799283162,10.112857142857143,📈 Uptrend,-0.46000000000000085,0.6739999999999998,12.721999999999998,🚨 High Risk Increase
2024-01-17,potato,11.12,10.7,0.03925233644859813,10.70142857142857,📈 Uptrend,0.41999999999999993,-0.0620000000000001,10.934,✅ مستقر
2024-01-18,potato,11.28,11.12,0.014388489208633108,11.265714285714285,📈 Uptrend,0.16000000000000014,-0.07800000000000011,11.046,✅ مستقر
2024-01-19,potato,11.74,11.28,0.04078014184397171,11.309999999999999,📈 Uptrend,0.46000000000000085,0.04800000000000004,11.884,✅ مستقر
2024-01-20,potato,11.91,11.74,0.01448040885860306,11.344285714285714,📈 Uptrend,0.16999999999999993,0.15,12.36,✅ مستقر
2024-01-21,potato,11.38,11.91,-0.044500419815281224,11.327142857142857,📈 Uptrend,-0.5299999999999994,0.1360000000000003,11.788000000000002,✅ مستقر
